Index,Timestamp,VelonutzungVorher,VelonutzungNachher,Velominuten,Grund,AuswirkungMaskenpflicht,Alter,Wohnort,
1,03.02.21 14:41,weniger,weniger,10,weil es schnell ist,keine Auswirkung,19 bis 25,Köniz,
2,03.02.21 14:42,1 - 3 mal,1 - 3 mal,16,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist, Kartoffeln",-,unter 18,Lützelflüh,
3,03.02.21 14:43,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Buchs,
4,03.02.21 14:44,jeden Tag,jeden Tag,15,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Basel,
5,03.02.21 14:45,1 - 3 mal,1 - 3 mal,1,"weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Gurmels,
6,03.02.21 14:45,weniger,1 - 3 mal,10,"weil es gesund ist, weil es schnell ist",keine Auswirkung,19 bis 25,Veltheim,
7,03.02.21 14:46,1 - 3 mal,weniger,5,"weil es billig ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Mühleberg,
8,03.02.21 14:46,weniger,nie,0,"weil es gesund ist, weil es mir spass macht, Um in Form zu bleiben.",keine Auswirkung,unter 18,Heitenried,
9,03.02.21 14:47,4 - 6 mal,4 - 6 mal,5,weil es gesund ist,keine Auswirkung,unter 18,Konolfingen ,
10,03.02.21 14:47,weniger,weniger,0,weil es mir spass macht,keine Auswirkung,unter 18,Therwil,
11,03.02.21 14:49,4 - 6 mal,nie,0,"weil es umweltfreundlich ist, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
12,03.02.21 14:49,weniger,4 - 6 mal,35,"weil es mir spass macht, weil es schnell ist, Wöu i ke bock ha uf dütsch",Ich benutze häufiger das Velo als vorher.,unter 18,Wattenwil,
13,03.02.21 14:51,1 - 3 mal,4 - 6 mal,50,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,bern,X
14,03.02.21 14:51,weniger,weniger,15,weil es schnell ist,keine Auswirkung,unter 18,Köniz,
15,03.02.21 14:52,jeden Tag,jeden Tag,5,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
16,03.02.21 14:52,jeden Tag,jeden Tag,15,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",Ich benutze häufiger das Velo als vorher.,41 bis 65,Köniz,
17,03.02.21 14:53,1 - 3 mal,1 - 3 mal,0,"weil es umweltfreundlich ist, weil es gesund ist",keine Auswirkung,19 bis 25,Mühlethurnen,
18,03.02.21 14:54,weniger,weniger,0,"weil es umweltfreundlich ist, weil es gesund ist",keine Auswirkung,19 bis 25,Langenthal ,
19,03.02.21 14:54,1 - 3 mal,4 - 6 mal,50,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,bern,X
20,03.02.21 14:56,1 - 3 mal,weniger,0,weil es schnell ist,keine Auswirkung,unter 18,Münchenbuchsee,
21,03.02.21 14:58,4 - 6 mal,4 - 6 mal,4,"weil es gesund ist, weil es mir spass macht, weil es schnell ist, Aues angere gieng eifach ewig",keine Auswirkung,unter 18,Burgdorf,
22,03.02.21 14:59,nie,nie,50,weil es schnell ist,keine Auswirkung,unter 18,Köniz,
23,03.02.21 15:00,1 - 3 mal,weniger,13,weil es gesund ist,keine Auswirkung,19 bis 25,Radelfingen,
24,03.02.21 15:00,nie,nie,0,fahre öppe nie velo,keine Auswirkung,unter 18,Köniz,
25,03.02.21 15:00,nie,nie,0,fahre öppe nie velo,keine Auswirkung,unter 18,Köniz,
26,03.02.21 15:02,jeden Tag,jeden Tag,7,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
27,03.02.21 15:04,weniger,4 - 6 mal,20,"weil es billig ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,19 bis 25,Kehrsatz,
28,03.02.21 15:07,weniger,nie,8,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Bern,X
29,03.02.21 15:08,4 - 6 mal,4 - 6 mal,15,"weil es billig ist, weil es schnell ist",keine Auswirkung,unter 18,Heimberg,
30,03.02.21 15:08,jeden Tag,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Lohn-Ammannsegg,
31,03.02.21 15:09,4 - 6 mal,4 - 6 mal,5,"weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
32,03.02.21 15:12,jeden Tag,jeden Tag,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Spiegel,
33,03.02.21 15:13,4 - 6 mal,4 - 6 mal,3,"weil es billig ist, weil es schnell ist",keine Auswirkung,unter 18,Wattenwil,
34,03.02.21 15:14,1 - 3 mal,1 - 3 mal,15,"weil es mir spass macht, weil es schnell ist",Ich benutze häufiger das Velo als vorher.,unter 18,Köniz ,
35,03.02.21 15:18,weniger,weniger,60,"weil es billig ist, weil es umweltfreundlich ist, weil es schnell ist",keine Auswirkung,unter 18,Schüpfen,
36,03.02.21 15:19,jeden Tag,4 - 6 mal,10,"weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Freimettigen,
37,03.02.21 15:21,nie,nie,15,weil es schnell ist,keine Auswirkung,unter 18,Köniz,
38,03.02.21 15:22,4 - 6 mal,1 - 3 mal,45,weil es mir spass macht,keine Auswirkung,unter 18,Köniz,
39,03.02.21 15:23,weniger,nie,30,weil in der Nacht kein ÖV mehr fährt,keine Auswirkung,unter 18,Bern,X
40,03.02.21 15:24,1 - 3 mal,1 - 3 mal,10,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,-,
41,03.02.21 15:25,1 - 3 mal,nie,10,weil es gesund ist,keine Auswirkung,19 bis 25,Köniz,
42,03.02.21 15:29,4 - 6 mal,4 - 6 mal,7,weil es schnell ist,keine Auswirkung,unter 18,Köniz,
43,03.02.21 15:29,weniger,weniger,25,weil es gesund ist,keine Auswirkung,unter 18,Länggasse,
44,03.02.21 15:39,jeden Tag,nie,20,Einfach so,Ich benutze durch corona mehr ÖV als sonst,unter 18,Köniz,
45,03.02.21 15:41,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
46,03.02.21 15:41,nie,nie,0,I fahr kein velo,keine Auswirkung,unter 18,Köniz,
47,03.02.21 15:42,4 - 6 mal,1 - 3 mal,15,"weil es mir spass macht, weil es schnell ist, Keine andere Möglichkeit, da es keinen ÖV hat",keine Auswirkung,unter 18,Belp,
48,03.02.21 15:43,jeden Tag,jeden Tag,30,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,41 bis 65,Köniz ,
49,03.02.21 15:44,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
50,03.02.21 15:46,1 - 3 mal,1 - 3 mal,30,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",Ich benutze häufiger das Velo als vorher.,unter 18,Köniz ,
51,03.02.21 15:46,1 - 3 mal,1 - 3 mal,30,"weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Meikirch,
52,03.02.21 15:48,jeden Tag,jeden Tag,6,"weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Langenthal,
53,03.02.21 15:48,weniger,4 - 6 mal,2,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",Ich benutze häufiger das Velo als vorher.,unter 18,köniz,
54,03.02.21 15:56,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist",keine Auswirkung,unter 18,Konolfingen ,
55,03.02.21 15:56,jeden Tag,4 - 6 mal,7,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist, Sport","I bruche s‘Velo weniger, da igs für i d‘Sporthalle fahre (hobby) leider gad nid bruche",unter 18,Köniz,
56,03.02.21 15:57,4 - 6 mal,1 - 3 mal,7,weil es schnell ist,keine Auswirkung,19 bis 25,Konolfingen,
57,03.02.21 15:57,1 - 3 mal,1 - 3 mal,0,weil es mir spass macht,keine Auswirkung,unter 18,Bern,X
58,03.02.21 15:58,4 - 6 mal,4 - 6 mal,20,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Mühleberg,
59,03.02.21 15:59,4 - 6 mal,1 - 3 mal,10,"weil es gesund ist, weil es schnell ist",keine Auswirkung,19 bis 25,Utzenstorf,
60,03.02.21 16:01,nie,nie,0,"weil es umweltfreundlich ist, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
61,03.02.21 16:04,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
62,03.02.21 16:05,4 - 6 mal,4 - 6 mal,10,"weil es umweltfreundlich ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
63,03.02.21 16:16,4 - 6 mal,4 - 6 mal,10,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,26 bis 40,Muttenz,
64,03.02.21 16:18,4 - 6 mal,4 - 6 mal,60,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, Kein Bus",keine Auswirkung,unter 18,Obersteckholz,
65,03.02.21 16:19,4 - 6 mal,4 - 6 mal,10,weil es schnell ist,keine Auswirkung,unter 18,Konolfingen,
66,03.02.21 16:22,jeden Tag,jeden Tag,15,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Bern,X
67,03.02.21 16:26,4 - 6 mal,weniger,5,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
68,03.02.21 16:39,4 - 6 mal,1 - 3 mal,14,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Niederbipp,
69,03.02.21 16:40,1 - 3 mal,1 - 3 mal,15,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",keine Auswirkung,unter 18,Konolfingen ,
70,03.02.21 16:41,4 - 6 mal,4 - 6 mal,15,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Lotzwil ,
71,03.02.21 16:45,4 - 6 mal,4 - 6 mal,0,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Obergoldbach,
72,03.02.21 16:50,1 - 3 mal,1 - 3 mal,0,"weil es gesund ist, weil es mir spass macht, Besonders wenn‘s viel Schlamm hat  :D",keine Auswirkung,19 bis 25,Landiswil,
73,03.02.21 16:56,1 - 3 mal,1 - 3 mal,2,weil es mir spass macht,keine Auswirkung,unter 18,-,
74,03.02.21 16:59,4 - 6 mal,weniger,1,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",keine Auswirkung,unter 18,Belp,
75,03.02.21 17:17,jeden Tag,jeden Tag,10,weil es schnell ist,keine Auswirkung,unter 18,Konolfingen,
76,03.02.21 17:24,weniger,1 - 3 mal,45,"weil es umweltfreundlich ist, weil es schnell ist",keine Auswirkung,unter 18,Konolfingen,
77,03.02.21 17:29,1 - 3 mal,nie,15,"weil es gesund ist, weil es schnell ist",keine Auswirkung,19 bis 25,Bern,X
78,03.02.21 17:33,1 - 3 mal,weniger,0,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Bern,X
79,03.02.21 17:38,jeden Tag,jeden Tag,10,weil es schnell ist,keine Auswirkung,unter 18,Wattenwil,
80,03.02.21 17:44,1 - 3 mal,4 - 6 mal,15,weil es schnell ist,keine Auswirkung,unter 18,Spiegel,
81,03.02.21 17:45,nie,4 - 6 mal,35,"weil es mir spass macht, weil es schnell ist",Ich benutze häufiger das Velo als vorher.,unter 18,-,
82,03.02.21 17:50,jeden Tag,jeden Tag,10,"weil es umweltfreundlich ist, Geht nicht anders.",keine Auswirkung,unter 18,Thun,
83,03.02.21 18:09,weniger,nie,15,"weil es billig ist, weil es gesund ist",keine Auswirkung,unter 18,Köniz,
84,03.02.21 18:10,4 - 6 mal,jeden Tag,10,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Nidau,
85,03.02.21 18:16,4 - 6 mal,4 - 6 mal,25,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Hilterfingen,
86,03.02.21 18:18,jeden Tag,jeden Tag,15,"weil es billig ist, weil es umweltfreundlich ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Kehrsatz,
87,03.02.21 18:39,4 - 6 mal,4 - 6 mal,5,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,41 bis 65,Köniz,
88,03.02.21 18:54,1 - 3 mal,nie,0,"weil es umweltfreundlich ist, weil es gesund ist",keine Auswirkung,unter 18,Köniz,
89,03.02.21 19:45,4 - 6 mal,4 - 6 mal,20,weil es schnell ist,keine Auswirkung,unter 18,Konolfingen ,
90,03.02.21 20:10,jeden Tag,jeden Tag,15,"weil es mir spass macht, weil es schnell ist, Hobby",Ich benutze nur noch das Velo.,19 bis 25,Kappelen ,
91,03.02.21 20:13,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
92,03.02.21 20:15,weniger,weniger,50,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",Ich benutze häufiger das Velo als vorher.,41 bis 65,Konolfingen,
93,03.02.21 20:21,1 - 3 mal,nie,0,weil es schnell ist,keine Auswirkung,unter 18,Konolfingen ,
94,03.02.21 21:06,jeden Tag,jeden Tag,5,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,41 bis 65,Köniz,
95,03.02.21 21:20,jeden Tag,4 - 6 mal,40,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,41 bis 65,Köniz,
96,03.02.21 21:32,4 - 6 mal,4 - 6 mal,5,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,unter 18,Konolfingen ,
97,03.02.21 22:06,jeden Tag,jeden Tag,5,"weil es mir spass macht, weil es schnell ist",keine Auswirkung,26 bis 40,Davos,
98,03.02.21 23:11,4 - 6 mal,4 - 6 mal,30,weil es mir spass macht,keine Auswirkung,26 bis 40,Bern-Bethlehem,
99,03.02.21 23:21,4 - 6 mal,4 - 6 mal,7,weil es schnell ist,keine Auswirkung,unter 18,Köniz,
100,04.02.21 05:32,4 - 6 mal,4 - 6 mal,15,"weil es umweltfreundlich ist, weil es gesund ist",Ich benutze häufiger das Velo als vorher.,unter 18,Fislisbach ,
101,04.02.21 07:39,jeden Tag,weniger,0,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Blumenstein,
102,04.02.21 08:02,4 - 6 mal,nie,10,"weil es billig ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Naters,
103,04.02.21 08:05,1 - 3 mal,1 - 3 mal,20,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,unter 18,Konolfingen,
104,04.02.21 08:18,4 - 6 mal,1 - 3 mal,5,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,26 bis 40,Liebefeld,
105,04.02.21 08:19,weniger,weniger,90,"weil es mir spass macht, Downhill, Pumptracks und Highjumps und für Familienausflüge",keine Auswirkung,26 bis 40,Gurmels FR,
106,04.02.21 08:20,4 - 6 mal,1 - 3 mal,20,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,26 bis 40,Köniz,
107,04.02.21 08:33,nie,nie,0,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,26 bis 40,Neuenegg BE,
108,04.02.21 08:35,jeden Tag,jeden Tag,20,weil ich noch kein töffli-ausweis habe lol (und es in meinere nähe kein bus/bahnhof gibt,keine Auswirkung,unter 18,Gysenstein,
109,04.02.21 08:35,4 - 6 mal,4 - 6 mal,12,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,26 bis 40,Bern,X
110,04.02.21 08:38,1 - 3 mal,weniger,0,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,41 bis 65,Oberburg,
111,04.02.21 08:49,nie,nie,0,Fahre mit dem Auto zur Arbeit,keine Auswirkung,41 bis 65,Ittigen,
112,04.02.21 08:52,4 - 6 mal,4 - 6 mal,4,"weil es mir spass macht, weil es schnell ist, Ich brauche das Velo hauptsächlich für den Weg von Zuhause bis an den Bahnhof",keine Auswirkung,26 bis 40,Schwarzenburg,
113,04.02.21 08:56,jeden Tag,1 - 3 mal,15,"weil es billig ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,26 bis 40,Kehrsatz,
114,04.02.21 09:10,nie,nie,0,Fahre selten Velo,keine Auswirkung,26 bis 40,Köniz,
115,04.02.21 09:19,4 - 6 mal,nie,10,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,26 bis 40,Köniz,
116,04.02.21 09:53,1 - 3 mal,1 - 3 mal,20,weil es mir spass macht,keine Auswirkung,19 bis 25,Muri,
117,04.02.21 09:58,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es schnell ist, weil ich unabhängig von Fahrplänen bin (ÖV)",keine Auswirkung,19 bis 25,Niederönz,
118,04.02.21 10:11,1 - 3 mal,nie,8,"weil es umweltfreundlich ist, weil es gesund ist",Benütze das Velo weniger,41 bis 65,Freimettigen ,
119,04.02.21 10:11,1 - 3 mal,weniger,50,weil es mir spass macht,keine Auswirkung,41 bis 65,Laupen,
120,04.02.21 10:37,4 - 6 mal,4 - 6 mal,5,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Thun,
121,04.02.21 10:41,1 - 3 mal,4 - 6 mal,10,weil es schnell ist,keine Auswirkung,26 bis 40,Aarau,
122,04.02.21 11:25,weniger,weniger,0,weil es mir spass macht,keine Auswirkung,26 bis 40,Oftringen,
123,04.02.21 12:27,nie,nie,2,Damit ich Alkohol trinken kann,keine Auswirkung,26 bis 40,Köniz,
124,04.02.21 12:46,weniger,weniger,0,weil es mir spass macht,keine Auswirkung,41 bis 65,Neuenegg,
125,04.02.21 13:37,4 - 6 mal,4 - 6 mal,15,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",Ich benutze nur noch das Velo.,41 bis 65,Wabern,
126,04.02.21 13:47,nie,nie,10,Mache ich nicht ,keine Auswirkung,26 bis 40,Herzogenbuchsee ,
127,04.02.21 13:48,nie,nie,10,Mache ich nicht ,keine Auswirkung,26 bis 40,Herzogenbuchsee ,
128,04.02.21 14:52,weniger,weniger,25,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,26 bis 40,Bern,X
129,05.02.21 06:10,weniger,weniger,0,"weil es gesund ist, weil es schnell ist",keine Auswirkung,26 bis 40,Vechigen,
130,06.02.21 21:22,4 - 6 mal,4 - 6 mal,45,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,41 bis 65,Konolfingen ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,45,